0,47
0,70
0,6
0,12
0,90
0,9
0,91
0,86
1,43
2,71
2,41
2,93
2,46
2,43
2,56
2,86
3,64
3,22
3,42
4,14
5,8
5,30
5,67
5,89
5,19
5,88
5,98
5,76
5,0
5,26
5,65
5,31
6,12
6,52
6,90
6,9
6,40
6,11
7,10
7,71
7,13
7,16
7,1
7,96
7,43
7,35
7,74
7,80
7,14
8,84
8,54
8,25
8,72
8,36
8,30
8,34
8,58
8,50
8,89
8,61
8,19
8,57
8,98
8,76
8,31
8,16
8,1
8,73
8,74
8,39
9,41
9,87
9,56
9,15
10,41
10,79
10,13
10,91
10,86
10,93
10,35
10,74
10,14
11,80
11,56
11,14
12,52
12,31
12,90
12,96
13,23
13,95
13,46
13,35
13,48
13,80
13,56
13,93
15,1
15,35
15,74
15,80
15,48
16,15
16,96
16,43
16,80
16,14
17,45
17,75
17,58
17,49
17,57
17,76
17,51
17,6
17,12
17,31
17,90
17,71
17,39
18,69
18,63
18,53
18,3
18,64
18,22
18,45
18,50
18,61
18,52
18,31
18,72
19,0
19,24
19,51
19,90
19,43
20,79
20,13
20,91
20,95
20,16
20,15
20,87
20,39
20,96
20,73
20,56
20,14
21,18
21,32
21,64
21,8
21,26
21,46
22,34
22,89
22,98
22,70
22,29
22,52
22,31
23,86
23,16
23,96
23,95
24,51
24,65
24,6
24,29
24,52
24,90
24,81
24,92
24,1
24,91
25,94
25,72
25,36
25,97
25,75
25,50
25,61
25,88
25,0
25,47
25,26
25,51
25,65
25,6
25,68
25,29
25,90
25,58
26,70
26,29
26,12
27,33
27,21
27,38
27,69
27,63
27,3
27,64
27,22
27,8
28,1
28,39
28,4
29,90
29,81
29,9
29,16
29,35
29,74
30,75
30,34
30,50
30,61
30,19
30,88
30,98
30,0
30,47
30,70
30,65
30,6
30,29
30,52
30,81
30,37
30,91
31,81
31,40
31,13
31,16
31,4
32,22
32,55
32,97
32,98
32,0
32,95
33,21
33,18
33,69
33,63
33,53
33,3
33,22
33,65
33,29
33,26
33,90
34,49
34,50
34,88
34,57
34,0
34,47
34,26
34,65
34,6
34,31
34,81
34,13
34,87
36,97
36,17
36,45
36,67
36,34
36,61
36,6
36,68
36,29
36,12
36,52
36,90
36,86
37,2
37,71
37,13
37,23
37,91
37,46
37,80
37,56
37,11
38,32
38,53
38,64
38,57
38,0
38,31
38,79
39,4
39,35
40,86
40,16
40,96
40,43
40,11
40,80
40,1
41,87
41,48
42,72
42,45
42,75
42,58
42,50
42,89
42,57
42,98
42,76
42,26
42,51
42,65
42,68
42,12
42,31
42,92
42,16
42,40
44,25
44,17
44,45
44,58
44,76
44,51
44,65
44,90
44,81
44,71
44,92
44,87
44,35
44,30
44,97
45,67
45,34
45,58
45,61
45,0
45,68
45,90
45,81
45,2
45,7
45,87
46,4
46,35
47,24
47,68
47,12
48,80
48,56
48,14
49,89
49,19
49,76
49,47
49,26
49,65
49,68
49,93
49,48
50,61
50,88
50,24
50,65
50,6
50,68
50,29
50,56
50,19
51,6
51,31
51,90
51,7
51,87
51,39
52,90
52,9
52,20
52,79
53,3
53,22
53,5
53,64
54,72
54,36
54,75
54,49
54,61
54,98
54,76
54,47
54,24
54,26
54,65
54,68
54,29
54,31
54,90
54,9
54,16
55,42
55,30
55,67
55,75
55,34
55,89
55,47
55,70
55,68
55,29
55,31
55,90
55,35
55,51
55,76
57,98
57,0
57,47
57,70
57,65
57,6
57,68
57,29
57,52
57,9
58,50
58,61
58,19
58,88
58,57
58,98
58,24
58,51
58,52
58,41
58,87
58,96
58,73
58,35
59,82
59,66
59,27
59,33
59,69
59,32
59,64
59,5
59,25
59,34
59,19
59,14
60,5
60,8
60,84
60,25
60,42
60,94
60,36
60,17
60,67
60,75
60,34
60,49
60,89
60,19
60,0
60,70
60,31
60,90
60,9
60,91
60,95
61,88
61,47
61,52
61,31
61,7
61,91
61,35
61,11
62,66
62,21
62,38
62,69
62,32
62,3
62,64
62,0
62,51
62,65
62,16
63,53
63,3
63,64
63,5
63,30
63,45
63,75
63,81
64,22
64,54
64,72
64,34
64,58
64,49
64,89
64,1
65,68
65,12
65,31
65,9
65,23
65,95
65,46
66,27
66,69
66,3
66,64
66,8
66,55
66,89
66,90
66,16
66,63
66,80
67,50
67,61
67,0
67,47
67,70
67,68
67,12
67,81
67,9
67,78
67,1
67,16
67,26
68,29
68,31
68,78
68,74
68,96
69,63
69,53
69,3
69,64
69,22
69,0
70,6
70,29
70,31
70,81
70,56
70,48
71,28
71,41
71,95
71,86
71,87
71,43
71,11
71,73
72,97
72,17
72,49
72,89
72,61
72,88
72,57
72,70
72,52
72,31
72,9
72,78
73,43
73,11
74,56
75,58
75,49
75,50
75,61
75,19
75,76
75,24
75,26
75,68
75,90
75,1
76,70
76,65
76,29
76,12
76,31
76,90
77,82
77,62
77,66
77,33
77,21
77,38
77,63
77,3
77,64
77,22
77,58
77,47
77,88
78,16
78,87
78,96
78,73
78,4
78,35
78,48
78,11
79,13
79,91
79,95
79,86
79,4
79,43
80,56
81,9
81,10
81,71
82,62
82,32
82,3
82,22
82,84
82,98
82,6
83,62
83,69
83,64
83,54
83,42
83,72
83,97
83,65
83,6
83,90
84,36
84,30
84,17
84,45
84,34
84,50
84,61
84,19
84,57
84,98
84,70
84,29
84,52
84,31
84,9
84,80
84,67
85,83
85,62
85,33
85,21
85,64
85,5
85,94
85,97
85,45
85,88
85,52
85,63
85,32
85,22
86,1
86,39
86,35
86,74
87,39
87,35
87,48
87,11
88,76
88,26
88,70
88,51
88,65
88,90
89,19
89,76
89,0
89,24
89,26
89,68
89,29
89,57
90,2
91,16
91,4
91,35
91,11
91,14
92,93
92,4
92,14
93,1
93,96
93,43
94,67
94,58
94,61
94,47
94,26
94,70
94,65
94,68
94,52
94,90
94,41
94,36
95,16
95,93
95,15
95,1
95,11
96,80
97,67
97,75
97,34
97,61
97,98
97,76
97,47
97,70
97,6
97,29
97,12
97,81
97,9
97,11
98,24
98,65
98,6
98,68
98,29
98,90
98,9
98,37
98,39
98,35
98,74
99,82
99,85
99,62
99,27
99,33
99,69
99,53
99,30
99,17
99,89
99,51
